OrderID,OrderDate,CustomerID,Region,Category,Sales
1050,2023-05-29,C010,South,Technology,1250.00
1051,2023-06-02,C011,East,Office Supplies,330.00
1052,2023-06-05,C009,West,Technology,1850.00
1053,2023-06-08,C012,South,Furniture,780.00
1054,2023-06-11,C004,North,Technology,2600.00
1055,2023-06-14,C013,North,Office Supplies,210.00
1056,2023-06-17,C001,East,Furniture,640.00
1057,2023-06-20,C005,West,Technology,1100.00
1058,2023-06-23,C014,West,Office Supplies,460.00
1059,2023-06-26,C007,North,Technology,2900.00
1060,2023-06-29,C002,West,Furniture,830.00
1061,2023-07-03,C006,South,Technology,1400.00
1062,2023-07-06,C015,East,Office Supplies,175.00
1063,2023-07-09,C008,East,Technology,2100.00
1064,2023-07-12,C010,South,Furniture,560.00
1065,2023-07-15,C003,South,Technology,970.00
1066,2023-07-18,C013,North,Technology,3300.00
1067,2023-07-21,C011,East,Office Supplies,290.00
1068,2023-07-24,C004,North,Furniture,920.00
1069,2023-07-27,C014,West,Technology,2050.00
1070,2023-07-30,C001,East,Office Supplies,360.00
1071,2023-08-02,C009,West,Technology,1700.00
1072,2023-08-05,C015,East,Furniture,480.00
1073,2023-08-08,C005,West,Technology,1300.00
1074,2023-08-11,C012,South,Office Supplies,225.00
1075,2023-08-14,C007,North,Technology,2700.00
1076,2023-08-17,C002,West,Office Supplies,195.00
1077,2023-08-20,C010,South,Furniture,870.00
1078,2023-08-23,C013,North,Technology,1550.00
1079,2023-08-26,C006,South,Office Supplies,340.00
1080,2023-08-29,C001,East,Technology,1950.00
1081,2023-09-02,C003,South,Technology,820.00
1082,2023-09-05,C014,West,Furniture,690.00
1083,2023-09-08,C011,East,Technology,2350.00
1084,2023-09-11,C004,North,Office Supplies,265.00
1085,2023-09-14,C015,East,Technology,1450.00
1086,2023-09-17,C008,East,Furniture,750.00
1087,2023-09-20,C005,West,Technology,1200.00
1088,2023-09-23,C009,West,Office Supplies,385.00
1089,2023-09-26,C012,South,Technology,2800.00
1090,2023-09-29,C007,North,Furniture,640.00
1091,2023-10-02,C010,South,Technology,3500.00
1092,2023-10-05,C001,East,Office Supplies,410.00
1093,2023-10-08,C013,North,Technology,2200.00
1094,2023-10-11,C002,West,Furniture,580.00
1095,2023-10-14,C006,South,Technology,1650.00
1096,2023-10-17,C015,East,Office Supplies,235.00
1097,2023-10-20,C004,North,Technology,3100.00
1098,2023-10-23,C011,East,Furniture,820.00
1099,2023-10-26,C014,West,Technology,1800.00
1100,2023-10-29,C003,South,Office Supplies,300.00
1101,2023-11-02,C008,East,Technology,2500.00
1102,2023-11-05,C012,South,Furniture,700.00
1103,2023-11-08,C005,West,Technology,1400.00
1104,2023-11-11,C007,North,Office Supplies,445.00
1105,2023-11-14,C009,West,Technology,3200.00
1106,2023-11-17,C001,East,Furniture,860.00
1107,2023-11-20,C013,North,Technology,2750.00
1108,2023-11-23,C010,South,Office Supplies,320.00
1109,2023-11-26,C015,East,Technology,1550.00
1110,2023-11-29,C002,West,Furniture,490.00
1111,2023-12-02,C006,South,Technology,1900.00
1112,2023-12-05,C014,West,Office Supplies,280.00
1113,2023-12-08,C004,North,Technology,3800.00
1114,2023-12-11,C011,East,Furniture,940.00
1115,2023-12-14,C003,South,Technology,1100.00
1116,2023-12-17,C008,East,Office Supplies,375.00
1117,2023-12-20,C012,South,Technology,2600.00
1118,2023-12-23,C005,West,Furniture,710.00
1119,2023-12-26,C007,North,Technology,4200.00
1120,2023-12-29,C009,West,Office Supplies,290.00
